station_id, p_station_id, station_name
30233, 41220, Fullerton
30234, 41220, Fullerton
30170, 40880, Thorndale
30066, 40340, Berwyn
30173, 40900, Howard
30223, 41170, Garfield
30110, 40560, Jackson
30269, 41400, Roosevelt
30047, 40240, 79th
30224, 41170, Garfield
30121, 40630, Clark/Division
30268, 41380, Bryn Mawr
30267, 41380, Bryn Mawr
30237, 41230, 47th
30286, 41490, Harrison
30125, 40650, North/Clybourn
30255, 41320, Belmont
30067, 40340, Berwyn
30270, 41400, Roosevelt
30285, 41490, Harrison
30276, 41430, 87th
30178, 40910, 63rd
30126, 40650, North/Clybourn
30230, 41200, Argyle
30147, 40760, Granville
30275, 41430, 87th
30194, 41000, Cermak-Chinatown
30109, 40560, Jackson
30150, 40770, Lawrence
30036, 40190, Sox-35th
30046, 40240, 79th
30211, 41090, Monroe
30089, 40450, 95th/Dan Ryan
30192, 40990, 69th
30273, 41420, Addison
30106, 40540, Wilson
30169, 40880, Thorndale
30289, 41660, Lake
30016, 40080, Sheridan
30122, 40630, Clark/Division
30251, 41300, Loyola
30193, 41000, Cermak-Chinatown
30191, 40990, 69th
30037, 40190, Sox-35th
30064, 40330, Grand
30017, 40080, Sheridan
30105, 40540, Wilson
30280, 41450, Chicago
30020, 40100, Morse
30177, 40910, 63rd
30279, 41450, Chicago
30238, 41230, 47th
30065, 40330, Grand
30274, 41420, Addison
30227, 41190, Jarvis
30290, 41660, Lake
30021, 40100, Morse
30256, 41320, Belmont
30252, 41300, Loyola
30229, 41200, Argyle
30212, 41090, Monroe
30148, 40760, Granville
